year,model,description,euro_standard,tax_band,transmission,engine_capacity,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,thc_emissions,fuel_type_CNG,fuel_type_Petrol,fuel_type_Petrol / E85 (Flex Fuel),fuel_type_Petrol Electric,fuel_type_Petrol Hybrid,transmission_type_Automatic,transmission_type_Manual,manufacturer_Abarth,manufacturer_Alfa Romeo,manufacturer_Aston Martin Lagonda,manufacturer_Audi,manufacturer_BMW,manufacturer_Bentley Motors,manufacturer_Chevrolet,manufacturer_Chrysler Jeep,manufacturer_Citroen,manufacturer_Corvette,manufacturer_Dacia,manufacturer_Ferrari,manufacturer_Fiat,manufacturer_Ford,manufacturer_Honda,manufacturer_Hyundai,manufacturer_Infiniti,manufacturer_Jaguar Cars,manufacturer_Kia,manufacturer_Land Rover,manufacturer_Lexus,manufacturer_Lotus,manufacturer_MG Motors UK,manufacturer_MG Motors Uk,manufacturer_Maserati,manufacturer_Mazda,manufacturer_McLaren,manufacturer_Mercedes-Benz,manufacturer_Mini,manufacturer_Mitsubishi,manufacturer_Morgan Motor Company,manufacturer_Nissan,manufacturer_Perodua,manufacturer_Peugeot,manufacturer_Porsche,manufacturer_Renault,manufacturer_Rolls-Royce,manufacturer_Seat,manufacturer_Skoda,manufacturer_Smart,manufacturer_Subaru,manufacturer_Suzuki,manufacturer_Toyota,manufacturer_Vauxhall,manufacturer_Volkswagen,manufacturer_Volvo
2013,"Astra GTC, Model Year 2012",1.6i 16v VVT Turbo 180PS with 18/19 inch wheels,5,H,M6,1598.0,9.3,5.9,7.2,30.4,47.9,39.2,72.0,168,49.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Astra GTC, Model Year 2012","1.6i 16v VVT Turbo 180PS with 20"" wheels",5,H,M6,1598.0,9.3,6.0,7.2,30.4,47.1,39.2,72.0,169,49.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Astra GTC, Model Year 2012","VXR 2.0i 16V Turbo 280PS Start/Stop with 17"" wheels",5,J,M6,1998.0,10.8,6.5,8.1,26.2,43.5,34.9,75.0,189,24.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Astra GTC, Model Year 2012","VXR 2.0i 16V Turbo 280PS Start/Stop with 19"" wheels",5,J,M6,1998.0,10.8,6.5,8.1,26.2,43.5,34.9,75.0,189,24.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Cascada, Model Year 2013",1.4 16v 140PS Elite Turbo with Start/Stop,5,F,M6,1362.0,7.8,5.4,6.3,36.2,52.3,44.8,72.0,148,32.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Cascada, Model Year 2013",1.4 16v 140PS SE Turbo with Start/Stop,5,F,M6,1362.0,7.8,5.4,6.3,36.2,52.3,44.8,72.0,148,32.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",1.0l 12V (65PS) Ecoflex,5,C,M5,998.0,6.3,4.2,5.0,44.8,67.3,56.5,72.0,117,45.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",1.2l 16V (85PS),5,D,M5,1229.0,6.9,4.4,5.3,40.9,64.2,53.3,71.0,124,32.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",1.2l 16V (85PS) Ecoflex Easytronic,5,C,ET5,1229.0,6.5,4.2,5.1,43.5,67.3,55.4,72.0,119,36.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",1.4l 16V (100PS) (129G),5,D,M5,1398.0,7.0,4.6,5.5,40.4,61.4,51.4,72.0,129,52.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",1.4l 16V (100PS) (134G),5,E,M5,1398.0,7.3,4.8,5.7,38.7,58.9,49.6,73.0,134,52.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",1.4l 16V (100PS) (134G) Automatic,5,E,A4,1398.0,7.5,4.7,5.7,37.7,60.1,49.6,71.0,134,50.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",1.4l 16V (100PS) (143G) Automatic,5,F,A4,1398.0,8.0,5.0,6.1,35.3,56.5,46.3,72.0,143,50.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2013,"Corsa 3 Door Hatchback, Model Year 2011",VXR 1.6l 16V Turbo,5,H,M6,1598.0,9.8,5.9,7.3,28.8,47.9,38.7,74.0,172,52.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
